outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
poverty,exposure_admin,-0.003485828295763675,0.0037873114135193024,-0.011514569831084384,0.004542913239557033,0.37103499241433746,0.3708370837083708,151307,17,,covid_robust_2022_2025
matdep,exposure_composite_hybrid,0.008243318088788526,0.0028404027599801935,0.0022219332259838373,0.014264702951593215,0.010394187336234317,0.1346134613461346,151307,17,,covid_robust_2022_2025
matdep,exposure_exp_hybrid,0.0038239003814239192,0.002655067685044028,-0.001804591673892025,0.009452392436739863,0.1690841067412716,0.1793179317931793,151307,17,,covid_robust_2022_2025
matdep,exposure_cov_hybrid,0.007905810123447014,0.00222068160016724,0.0031981754313693466,0.01261344481552468,0.0026103143081259716,0.1342134213421342,151307,17,,covid_robust_2022_2025
matdep,exposure_composite_sim,0.008953935763728695,0.0031379860971799895,0.0022236249556259087,0.01568424657183148,0.012763985057888894,0.09380938093809381,141291,15,,covid_robust_2022_2025
matdep,exposure_admin,0.006575305177949276,0.0022988400926798043,0.001701981883415079,0.011448628472483473,0.011337353087609081,0.24172417241724173,151307,17,,covid_robust_2022_2025
poverty_gap,exposure_composite_hybrid,0.0013154870009724421,0.0024314710316556045,-0.003839001323937244,0.006469975325882129,0.5959431883711559,0.6019601960196019,151307,17,,covid_robust_2022_2025
poverty_gap,exposure_exp_hybrid,0.002189430983180356,0.002276813611272446,-0.002637198256695184,0.007016060223055896,0.35054876674306623,0.42724272427242727,151307,17,,covid_robust_2022_2025
poverty_gap,exposure_cov_hybrid,0.0003892695635111268,0.0022321194387900744,-0.004342612263274725,0.005121151390296979,0.8637429456488963,0.8647864786478647,151307,17,,covid_robust_2022_2025
poverty_gap,exposure_composite_sim,0.0016955103856353191,0.002830925975383663,-0.004376221960848286,0.007767242732118923,0.5587907361411395,0.5515551555155516,141291,15,,covid_robust_2022_2025
poverty_gap,exposure_admin,-0.0006712790029102595,0.0025660789262933526,-0.006111123316979525,0.004768565311159006,0.7969697155906457,0.7818781878187819,151307,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_composite_hybrid,0.001997051586843507,0.0018745404536054772,-0.001976796654359358,0.005970899828046373,0.3025287601378881,0.39483948394839485,151307,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_exp_hybrid,0.002117234541318814,0.0018211783988543444,-0.0017434911972397903,0.005977960279877418,0.26205436443456387,0.36793679367936794,151307,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_cov_hybrid,0.001257431450832019,0.0016624511994072608,-0.002266807656488164,0.0047816705581522016,0.46041892082217606,0.6174617461746175,151307,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_composite_sim,0.002216282423794235,0.002184437918190566,-0.0024688709437237725,0.006901435791312242,0.3275213156980854,0.37333733373337336,141291,15,,covid_robust_2022_2025
poverty_gap_sq,exposure_admin,0.00035617763567573205,0.001962555123652091,-0.0038042533709681608,0.004516608642319625,0.8582647902773493,0.8864886488648865,151307,17,,covid_robust_2022_2025
